"","p.values.treatment_p.values","p.values.treatment.1_p.values","p.values.treatment_adjusted.p.values","p.values.treatment.1_adjusted.p.values","p.values.treatment_q.values","p.values.treatment.1_q.values","post.hoc.5mM.Glucose.10mM.Glucose","post.hoc.5mM.Glucose.and.5mM.Fructose.10mM.Glucose","post.hoc.5mM.Glucose.and.5mM.Fructose.5mM.Glucose"
"X46377",0.0220056059597905,0.114287179339557,0.114287179339557,0.589925957743538,0.0777092305498318,0.609634562461474,0.0160945606625585,0.352350710363918,0.32034059510135
"X16879",0.924312922397971,0.970076885806482,0.970076885806482,0.997798249055363,0.666173983690154,0.929853250815197,0.987088168028058,0.968694900895941,0.918174978544599
"X1064",0.73774042715762,0.910162519328558,0.910162519328558,0.997798249055363,0.614311549436478,0.925579263882588,0.775200322797682,0.999959525139246,0.780127966361251
"X31563",0.340727722102698,0.619585482672321,0.619585482672321,0.997798249055363,0.4238383673029,0.894363908496196,0.600791099689002,0.877682606640827,0.319906168854146
"X1913",0.5619764050965,0.81146368807656,0.81146368807656,0.997798249055363,0.54818502434011,0.917276226016672,0.534571330185231,0.900399348634951,0.801217008379529
"X46341",0.206703743171401,0.482308734066602,0.482308734066602,0.997798249055363,0.329324382102093,0.868258340566627,0.456641191602481,0.191747676118035,0.843679445608129
"X119050",0.549977179229671,0.808281994759339,0.808281994759339,0.997798249055363,0.542834008590059,0.916977629668901,0.58989055322708,0.632468766000735,0.997469373852882
"X31285",0.79416918739818,0.936712374879905,0.936712374879905,0.997798249055363,0.631620892962333,0.927535766944249,0.970299084121899,0.900664923770974,0.781656311322615
"X18082",0.87289853217234,0.965887722884858,0.965887722884858,0.997798249055363,0.653327854632024,0.929570443615931,0.948169412373335,0.976514847229043,0.862580687067491
"X41811",0.0369695927316704,0.175061894994086,0.175061894994086,0.82013212050528,0.116562003545294,0.705203594270181,0.93161339355369,0.0453274697006872,0.101984299263513
"X5259",0.342503776135631,0.619585482672321,0.619585482672321,0.997798249055363,0.425108458456786,0.894363908496196,0.612440641145624,0.319783222979898,0.868743617319536
"X61",0.00237739480270101,0.0239225352021789,0.0239225352021789,0.240720510471925,0.0156818144507308,0.246360707764299,0.0239088464274728,0.00264482737110017,0.723461271987573
"X1941",0.121650894807977,0.380306680856005,0.380306680856005,0.997798249055363,0.251656300708306,0.838625970015969,0.6168112966559,0.101242999476696,0.492517676277673
"X34049",0.119946584190647,0.378654903033219,0.378654903033219,0.997798249055363,0.249804857009208,0.838036034715518,0.154141766679123,0.197037618762985,0.990557196695932
"X49400",0.000344121680059672,0.00395739932068622,0.00395739932068622,0.0455100921878916,0.00270465308905633,0.0513024786743878,0.959544257199293,0.000897562170622423,0.00216788188904771
"X3258",0.246269214280068,0.542577927640258,0.542577927640258,0.997798249055363,0.361445552907083,0.881152934778718,0.966871695562686,0.38612266180741,0.264318335204568
"X11481",0.153203245846456,0.416725545635313,0.416725545635313,0.997798249055363,0.281944710838485,0.850622251967532,0.422250948206253,0.136825882286426,0.779480946478669
"X47",0.786557519942745,0.931145299343985,0.931145299343985,0.997798249055363,0.629377241750528,0.927134090920367,0.987674410689501,0.865785382221821,0.786222347322538
"X48620",0.187796577134523,0.466348837191879,0.466348837191879,0.997798249055363,0.313887665584502,0.864361275885113,0.3773023995136,0.901549330201356,0.185372345216376
"X124996",0.977082572624985,0.99073652639335,0.99073652639335,0.997798249055363,0.67840498918772,0.931215392496207,0.994399578763764,0.99282438390814,0.974795179668677
"X84223",0.608233863925803,0.844186655965985,0.844186655965985,0.997798249055363,0.567691750151205,0.920227024323666,0.730746937685513,0.980463200877635,0.613450296448023
"X1873",0.672975212302392,0.880886253501505,0.880886253501505,0.997798249055363,0.592325860913689,0.923295608428455,0.908473461008453,0.883592906098126,0.64717905256851
"X34055",0.0218964993804944,0.114287179339557,0.114287179339557,0.589925957743538,0.077484225622726,0.609634562461474,0.718155034676044,0.0201489394630603,0.124919908914647
"X34081",0.00719292374565779,0.0525793098782646,0.0525793098782646,0.376234172906693,0.0354625157836944,0.418090912954915,0.0725608129439799,0.00635770680562553,0.619608204410133
"X3228",0.262255862926646,0.548353167937533,0.548353167937533,0.997798249055363,0.373147589811199,0.882257250870145,0.976186369680172,0.391922148497969,0.28616188180512
